JD,mag,err
32.71146,11.44,0.006
32.71165,11.439,0.006
32.71184,11.439,0.006
32.71202,11.446,0.007
32.7122,11.44,0.006
32.71239,11.444,0.006
32.71257,11.437,0.005
35.81453,11.443,0.005
35.8147,11.447,0.005
35.81489,11.453,0.005
35.81507,11.455,0.005
35.81526,11.436,0.005
35.81544,11.452,0.005
35.81563,11.454,0.005
35.81581,11.444,0.005
35.816,11.451,0.005
35.81618,11.454,0.005
41.70283,11.446,0.005
41.70301,11.445,0.005
41.7032,11.452,0.005
41.70338,11.45,0.005
41.70357,11.438,0.005
41.70375,11.445,0.005
41.70393,11.441,0.005
41.70411,11.446,0.005
41.7043,11.449,0.005
41.70448,11.45,0.005
43.91162,11.453,0.008
43.91239,11.429,0.008
43.91316,11.458,0.007
43.91394,11.427,0.008
43.9147,11.448,0.008
43.91548,11.46,0.008
43.91625,11.425,0.008
43.91702,11.441,0.009
43.91779,11.448,0.011
43.91858,11.458,0.014
46.08932,11.539,0.007
46.09377,11.548,0.007
46.7208,11.552,0.004
46.87246,11.439,0.008
46.87264,11.454,0.008
46.87283,11.312,0.01
46.87301,11.487,0.01
46.8732,11.407,0.008
46.87338,11.417,0.009
46.87357,11.351,0.012
46.87375,11.46,0.008
46.87394,11.456,0.008
46.87411,11.575,0.009
47.79386,11.452,0.005
47.79404,11.449,0.005
47.79423,11.443,0.005
47.79441,11.461,0.005
47.7946,11.456,0.005
47.79478,11.442,0.005
47.79497,11.45,0.005
47.79515,11.461,0.005
47.79534,11.45,0.005
47.79552,11.465,0.005
48.73512,11.456,0.004
48.73544,11.447,0.004
48.73563,11.448,0.004
48.73581,11.454,0.004
48.736,11.446,0.004
48.73617,11.439,0.004
48.73636,11.443,0.004
48.73654,11.439,0.004
48.73673,11.454,0.004
48.73691,11.45,0.004
62.76125,11.455,0.005
62.76143,11.452,0.005
62.76161,11.443,0.005
62.7618,11.453,0.006
62.76197,11.451,0.006
62.76215,11.45,0.006
62.76234,11.463,0.006
62.76251,11.453,0.005
62.7627,11.448,0.006
62.76288,11.461,0.006
66.66664,11.453,0.003
68.0569,11.54,0.083
68.06141,11.544,0.063
68.75784,11.44,0.005
68.75803,11.464,0.005
68.75821,11.454,0.005
68.75839,11.443,0.005
68.75858,11.46,0.005
68.75875,11.442,0.005
68.75894,11.463,0.005
68.75912,11.45,0.005
68.7593,11.453,0.005
68.75948,11.457,0.005
77.77045,11.448,0.005
77.77065,11.458,0.005
77.77084,11.452,0.005
77.77102,11.452,0.005
77.77119,11.452,0.005
77.77138,11.454,0.005
77.77156,11.449,0.005
77.77174,11.45,0.005
77.77192,11.445,0.005
78.75419,11.463,0.005
78.75441,11.457,0.005
78.7546,11.457,0.005
78.75477,11.461,0.005
78.75496,11.461,0.005
78.75514,11.465,0.005
78.75531,11.466,0.005
78.7555,11.463,0.005
78.75568,11.466,0.005
78.75586,11.458,0.005
140.50328,11.478,0.02
144.49987,11.445,0.02
145.5084,11.492,0.02
147.50511,11.506,0.02
148.49379,11.495,0.02
150.48664,11.483,0.02
151.48223,11.087,0.02
157.46585,11.491,0.02
158.46449,11.47,0.02
164.43537,11.489,0.004
164.44066,11.533,0.004
166.43317,11.531,0.02
171.42647,11.497,0.02
171.47971,11.514,0.02
174.43229,11.492,0.02
174.47588,11.496,0.02
175.41556,11.429,0.02
175.46923,11.408,0.02
176.4595,11.404,0.02
178.40865,11.498,0.02
178.42623,11.546,0.004
178.43065,11.536,0.003
178.46188,11.493,0.02
179.39717,11.496,0.02
179.45076,11.487,0.02
180.40614,11.489,0.02
181.40887,11.48,0.02
181.45251,11.481,0.02
182.4045,11.479,0.02
182.44779,11.473,0.02
183.39503,11.423,0.02
183.44016,11.439,0.02
186.3851,11.459,0.02
186.43845,11.458,0.02
193.37549,11.486,0.02
193.41914,11.48,0.02
194.36857,11.462,0.02
194.412,11.424,0.02
195.36745,11.454,0.02
195.41082,11.477,0.02
199.35375,11.478,0.02
199.39743,11.488,0.02
202.34858,11.472,0.02
202.39205,11.484,0.02
202.46133,11.472,0.02
207.33759,11.495,0.02
207.38103,11.481,0.02
207.45038,11.481,0.02
211.33135,11.477,0.02
211.37507,11.479,0.02
211.44479,11.483,0.02
212.30798,11.469,0.02
212.36134,11.479,0.02
212.43048,11.479,0.02
215.30828,11.48,0.02
215.36159,11.486,0.02
215.43083,11.487,0.02
217.30834,11.476,0.02
217.35172,11.483,0.02
217.42102,11.482,0.02
218.26862,11.7,0.1
220.41047,11.507,0.02
221.2006,11.51,0.002
221.20548,11.461,0.002
221.22615,11.468,0.003
221.23843,11.47,0.003
221.2507,11.46,0.004
221.26298,11.469,0.004
221.27523,11.461,0.005
221.2875,11.475,0.005
221.29975,11.464,0.005
224.20979,11.452,0.001
224.23572,11.445,0.001
224.24871,11.448,0.001
224.27464,11.449,0.001
224.30056,11.447,0.001
225.28624,11.483,0.02
225.32964,11.486,0.02
225.39885,11.494,0.02
226.2862,11.474,0.02
226.3296,11.474,0.02
226.39882,11.482,0.02
227.90399,11.465,0.01
227.90423,11.419,0.012
227.90448,11.221,0.042
227.90495,11.558,0.029
